xinyilun,RT @BethanyMota: New vlog is up!!! Some footage from my trip to India when I did a shopping challenge with @sherryshroff 💕 https://t.co/d3E…,Mon May 05 06:18:41 +0000 2014,xinyi,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Dave_Wii,"RT @iMiirrey: Quizás no serás mi novia, pero ya eres mía🙊😏❤️",Mon May 05 06:18:41 +0000 2014,♬ Daשe♂,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
gitithadani,RT @DabanggHindu: @5Forty3 India is under undeclared emergency every organisation of democracy is suppressed by Italian mafia people too sc…,Mon May 05 06:18:41 +0000 2014,Giti Thadani,web
MeKuheli,"RT @BloodDonorsIn: #Chennai
Need A-ve blood 1unit
At miot hospital, porur
Call 9952081379 via @Pedal_India",Mon May 05 06:18:42 +0000 2014,MysticK,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
malik_addi,Woohhhhh We Did It Salmaniacs... KICK First Look This Month In Now Trending In India http://t.co/bu4l6KrJ8c,Mon May 05 06:18:44 +0000 2014,Addi Salman Malik,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
prash13anth,RT @Khandelw13Sagar: A Must Read http://t.co/u2aWTHrUFv Why Narendra Modi Wasnt Joking About Illegal Immigrants #India #DeportBangladeshis …,Mon May 05 06:18:44 +0000 2014,prashanth,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>"
AccentureINJobs,#ProductMgmt #Job in #Chennai Oracle-Fusion Middleware-BPEL Process at Accenture India http://t.co/whjsvIpYH1 #Jobs #TweetMyJobs,Mon May 05 06:18:45 +0000 2014,Accenture India Jobs,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>"
farakshanda11,How to Save Money on Your Mobile Phone Bills in India -  http://t.co/zAJNBE4o4h,Mon May 05 06:18:45 +0000 2014,haya khan,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"
hasitseth,"RT @jalajboy: Om namah shivay - i pray to baba vishwanath to help maintain the glorious inclusive indic culture - hey Shiva, make india win.",Mon May 05 06:18:46 +0000 2014,Hasit Seth,web
adiscover,"RT @sharmaswati28: Only in a country lk India can politicians thump thr chests nd shed tears 4 illegal bangladeshis,militants,terrorists!!M…",Mon May 05 06:18:46 +0000 2014,adiscover,web
582Rahul,"#CongresiEC #BJP &amp; Hinduo ka dushmn""@ZeeNewsHindi: अमित शाह के बयान पर विवाद, समाजवादी पार्टी ने EC से की शिकायत
http://t.co/RHqBJ595DF""",Mon May 05 06:18:47 +0000 2014,राहुल श्रीवास्तव ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
mjdoshi,"RT @AAPVora: AlokT sent pic. This how India equips सुर्क्शा सेवक to serve citizens.
Vote fr NEW POLITICS vote #AAP
@AamAadmiParty http://t.…",Mon May 05 06:18:47 +0000 2014,mahesh aap,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
GirishPodar,RT @Neelam_Soti: Assam Govt planning to Arm Muslims in Assam http://t.co/25BsdBz2J0 Soon We will have Lashkar-e-Toibas financed by Indian T…,Mon May 05 06:18:47 +0000 2014,Girish Podar #HDL,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
anubhavshetty,Excellent article by @capitalcalculus on y vested interests are keen to keep alive the fear of communalism. #India http://t.co/kS8PO1KCXr,Mon May 05 06:18:47 +0000 2014,anubhav,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
salmankhurshiid,RT @Neelam_Soti: Assam Govt planning to Arm Muslims in Assam http://t.co/25BsdBz2J0 Soon We will have Lashkar-e-Toibas financed by Indian T…,Mon May 05 06:18:48 +0000 2014,Salman khurshiid,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"
fafsoft,"http://t.co/q4q0zYtZf2
why doesn't our #media highlight these.
#aasaam #India",Mon May 05 06:18:48 +0000 2014,FaisalAhmed Farooqui,web
McClanahanNick,"Quiz#1
If Jim has 10 apples &amp; John wants two, how many apples does Jim have now?
A)8 apples
B)12 apples
C)10 apples,fuckJohn
D)fuck apples",Mon May 05 06:18:48 +0000 2014,Nick McClanahan,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
rebelfrog,"The India Hotel was great before, but now its even better! http://t.co/BDH2Pl4tg0 #Android #Gameinsight #Androidgames",Mon May 05 06:18:49 +0000 2014,Helen Agius,"<a href=""https://market.android.com/details?id=com.seventeenbullets.android.island"" rel=""nofollow"">Paradise Island for Android</a>"
rajshetty555,RT @sneha11233: Chekout the top 10 Financial Advisors in India: 2014 - https://t.co/trpuDvqVfz via @Tackk #Financialadvice #Finance,Mon May 05 06:18:49 +0000 2014,Raj,web
JazminMolineris,RT @Esnicotina: Quizá destino somos.,Mon May 05 06:18:50 +0000 2014,Jazmín Molineris,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>"
UnMarditoMass,Quizás sera tu mirar :$ aunq cuando te escucho me coloco  a 1000 y un poco Dope :$,Mon May 05 06:18:51 +0000 2014,Heberto Vera,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>"
RoseHayden16,RT @BethanyMota: New vlog is up!!! Some footage from my trip to India when I did a shopping challenge with @sherryshroff 💕 https://t.co/d3E…,Mon May 05 06:18:51 +0000 2014,Rose Hayden,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
bleucielVent,あと2800歩でクイズ王への道！今なら10万円分のギフト券が当たるルーレットが回せるよ！しかも強いキャラクター先取りのチャンス！ http://t.co/YstBt12OXA　#翼のイーリス,Mon May 05 06:18:52 +0000 2014,空色の風＠ﾀﾏｺﾞﾃﾞｽﾄﾛｲﾔｰ,"<a href=""http://quiz-iris.jp/"" rel=""nofollow"">クイズファンタジー 翼のイーリス</a>"
_sofy9,"RT @la_biografia: Para estar triste hay que contarse una historia, pero para estar en paz, o quizás alegre no te hace falta imaginarte nada…",Mon May 05 06:18:53 +0000 2014,R.SOFIA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
facemarket_in,@EKolkataupdate ..follow this profile n win quiz. Only followers..https://t.co/ayDDBc7bgv,Mon May 05 06:18:54 +0000 2014,face-market.in,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>"
RESHMABHOGLE,@ElectionExpress @AamAadmiParty @smritiirani AGAIN LOOK WHO IS TAKING INTERVIEW #bahutkrantikari India today group HAHAHAHA,Mon May 05 06:18:54 +0000 2014,RESHMAA BHOGLE,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
